date,average_price ,total_volume,type,year,geography
2017/12/3,1.39,139970,conventional,2017,Albany
2017/12/3,1.44,3577,organic,2017,Albany
2017/12/3,1.07,504933,conventional,2017,Atlanta
2017/12/3,1.62,10609,organic,2017,Atlanta
2017/12/3,1.43,658939,conventional,2017,Baltimore
2017/12/3,1.58,38754,organic,2017,Baltimore
2017/12/3,1.14,86646,conventional,2017,Boise
2017/12/3,1.77,1829,organic,2017,Boise
2017/12/3,1.4,488588,conventional,2017,Boston
2017/12/3,1.88,21338,organic,2017,Boston
2017/12/3,1.13,153282,conventional,2017,Buffalo/Rochester
2017/12/3,1.18,7575,organic,2017,Buffalo/Rochester
2017/12/3,1.26,220837,conventional,2017,Charlotte
2017/12/3,1.9,9558,organic,2017,Charlotte
2017/12/3,1.56,654739,conventional,2017,Chicago
2017/12/3,1.75,32233,organic,2017,Chicago
2017/12/3,1.05,302992,conventional,2017,Cincinnati/Dayton
2017/12/3,1.72,6856,organic,2017,Cincinnati/Dayton
2017/12/3,0.99,194796,conventional,2017,Columbus
2017/12/3,1.54,6027,organic,2017,Columbus
2017/12/3,0.85,1199422,conventional,2017,Dallas/Ft. Worth
2017/12/3,1.66,18539,organic,2017,Dallas/Ft. Worth
2017/12/3,1.1,849840,conventional,2017,Denver
2017/12/3,1.79,23855,organic,2017,Denver
2017/12/3,0.97,515907,conventional,2017,Detroit
2017/12/3,1.39,12104,organic,2017,Detroit
2017/12/3,0.99,301527,conventional,2017,Grand Rapids
2017/12/3,1.31,6184,organic,2017,Grand Rapids
2017/12/3,1.27,231977,conventional,2017,Harrisburg/Scranton
2017/12/3,1.46,18107,organic,2017,Harrisburg/Scranton
2017/12/3,1.55,231210,conventional,2017,Hartford/Springfield
2017/12/3,1.83,14089,organic,2017,Hartford/Springfield
2017/12/3,0.77,1398400,conventional,2017,Houston
2017/12/3,1.56,25458,organic,2017,Houston
2017/12/3,1.25,182891,conventional,2017,Indianapolis
2017/12/3,1.42,8244,organic,2017,Indianapolis
2017/12/3,1.26,152697,conventional,2017,Jacksonville
2017/12/3,1.8,2407,organic,2017,Jacksonville
2017/12/3,1.01,315521,conventional,2017,Las Vegas
2017/12/3,1.56,8048,organic,2017,Las Vegas
2017/12/3,1.01,2615853,conventional,2017,Los Angeles
2017/12/3,1.77,71010,organic,2017,Los Angeles
2017/12/3,1.11,108947,conventional,2017,Louisville
2017/12/3,1.59,2597,organic,2017,Louisville
2017/12/3,1.35,550215,conventional,2017,Miami/Ft. Lauderdale
2017/12/3,1.58,5302,organic,2017,Miami/Ft. Lauderdale
2017/12/3,1.01,229337,conventional,2017,Nashville
2017/12/3,1.59,4985,organic,2017,Nashville
2017/12/3,0.97,266547,conventional,2017,New Orleans/Mobile
2017/12/3,1.46,5650,organic,2017,New Orleans/Mobile
2017/12/3,1.41,1191930,conventional,2017,New York
2017/12/3,1.81,95300,organic,2017,New York
2017/12/3,1.31,318626,conventional,2017,Orlando
2017/12/3,1.67,4484,organic,2017,Orlando
2017/12/3,1.35,379540,conventional,2017,Philadelphia
2017/12/3,1.63,25941,organic,2017,Philadelphia
2017/12/3,0.72,1135877,conventional,2017,Phoenix/Tucson
2017/12/3,1.83,10324,organic,2017,Phoenix/Tucson
2017/12/3,1.18,93898,conventional,2017,Pittsburgh
2017/12/3,1.36,12342,organic,2017,Pittsburgh
2017/12/3,0.88,777430,conventional,2017,Portland
2017/12/3,1.52,29861,organic,2017,Portland
2017/12/3,1.18,307299,conventional,2017,Raleigh/Greensboro
2017/12/3,2.11,10434,organic,2017,Raleigh/Greensboro
2017/12/3,1.02,261784,conventional,2017,Richmond/Norfolk
2017/12/3,1.5,11305,organic,2017,Richmond/Norfolk
2017/12/3,1.17,427791,conventional,2017,Sacramento
2017/12/3,1.69,6290,organic,2017,Sacramento
2017/12/3,1.08,479566,conventional,2017,San Diego
2017/12/3,1.79,13477,organic,2017,San Diego
2017/12/3,1.28,798853,conventional,2017,San Francisco
2017/12/3,2.07,14737,organic,2017,San Francisco
2017/12/3,1.26,500180,conventional,2017,Seattle
2017/12/3,1.19,98031,organic,2017,Seattle
2017/12/3,1.16,80464,conventional,2017,Spokane
2017/12/3,1.92,2575,organic,2017,Spokane
2017/12/3,1.37,132165,conventional,2017,St. Louis
2017/12/3,1.81,6103,organic,2017,St. Louis
2017/12/3,1.25,80838,conventional,2017,Syracuse
2017/12/3,1.23,4487,organic,2017,Syracuse
2017/12/3,1.27,381605,conventional,2017,Tampa
2017/12/3,1.61,4678,organic,2017,Tampa
2017/12/10,1.29,92326,conventional,2017,Albany
2017/12/10,1.45,3780,organic,2017,Albany
2017/12/10,0.99,543619,conventional,2017,Atlanta
2017/12/10,1.63,13301,organic,2017,Atlanta
2017/12/10,1.13,940851,conventional,2017,Baltimore
2017/12/10,1.51,41451,organic,2017,Baltimore
2017/12/10,1.08,85496,conventional,2017,Boise
2017/12/10,1.76,2237,organic,2017,Boise
2017/12/10,1.14,687252,conventional,2017,Boston
2017/12/10,1.74,26315,organic,2017,Boston
2017/12/10,1.25,127279,conventional,2017,Buffalo/Rochester
2017/12/10,1.14,11144,organic,2017,Buffalo/Rochester
2017/12/10,1.02,277529,conventional,2017,Charlotte
2017/12/10,1.91,10004,organic,2017,Charlotte
2017/12/10,1.13,1021445,conventional,2017,Chicago
2017/12/10,1.65,40734,organic,2017,Chicago
2017/12/10,1.16,234297,conventional,2017,Cincinnati/Dayton
2017/12/10,1.69,8239,organic,2017,Cincinnati/Dayton
2017/12/10,1.1,149627,conventional,2017,Columbus
2017/12/10,1.52,6604,organic,2017,Columbus
2017/12/10,0.75,1288281,conventional,2017,Dallas/Ft. Worth
2017/12/10,1.53,16640,organic,2017,Dallas/Ft. Worth
2017/12/10,0.97,886842,conventional,2017,Denver
2017/12/10,1.67,24472,organic,2017,Denver
2017/12/10,1.13,311950,conventional,2017,Detroit
2017/12/10,1.39,13711,organic,2017,Detroit
2017/12/10,1.61,107019,conventional,2017,Grand Rapids
2017/12/10,1.29,6253,organic,2017,Grand Rapids
2017/12/10,1.13,274939,conventional,2017,Harrisburg/Scranton
2017/12/10,1.41,20516,organic,2017,Harrisburg/Scranton
2017/12/10,1.14,447122,conventional,2017,Hartford/Springfield
2017/12/10,1.81,13691,organic,2017,Hartford/Springfield
