"conventional.date","conventional.average_price","conventional.total_volume","conventional.type","conventional.year","conventional.geography","conventional.Mileage","conventional.total_sales","organic.date","organic.average_price","organic.total_volume","organic.type","organic.year","organic.geography","organic.Mileage","organic.total_sales","organic.share_total_sales","conventional.share_total_sales","ave.con.share","ave.org.share"
"2017/12/3",1.39,139970,"conventional",2017,"Albany",2832,194558.3,"2017/12/3",1.44,3577,"organic",2017,"Albany",2832,5150.88,0.0257919040076175,0.974208095992382,0.967559739478929,0.0324402605210707
"2017/12/3",1.07,504933,"conventional",2017,"Atlanta",2199,540278.31,"2017/12/3",1.62,10609,"organic",2017,"Atlanta",2199,17186.58,0.0308298877800179,0.969170112219982,0.950191710190095,0.0498082898099051
"2017/12/3",1.43,658939,"conventional",2017,"Baltimore/Washington",2679,942282.77,"2017/12/3",1.58,38754,"organic",2017,"Baltimore/Washington",2679,61231.32,0.0610169011179504,0.93898309888205,0.944935705825464,0.0550642941745357
"2017/12/3",1.14,86646,"conventional",2017,"Boise",827,98776.44,"2017/12/3",1.77,1829,"organic",2017,"Boise",827,3237.33,0.0317342452886507,0.968265754711349,0.943837287582292,0.056162712417708
"2017/12/3",1.4,488588,"conventional",2017,"Boston",2998,684023.2,"2017/12/3",1.88,21338,"organic",2017,"Boston",2998,40115.44,0.0553974581442029,0.944602541855797,0.944402626536698,0.0555973734633019
"2017/12/3",1.13,153282,"conventional",2017,"Buffalo/Rochester",2552,173208.66,"2017/12/3",1.18,7575,"organic",2017,"Buffalo/Rochester",2552,8938.5,0.0490729583705834,0.950927041629417,0.926154647760673,0.0738453522393267
"2017/12/3",1.26,220837,"conventional",2017,"Charlotte",2428,278254.62,"2017/12/3",1.9,9558,"organic",2017,"Charlotte",2428,18160.2,0.0612661674608577,0.938733832539142,0.933943830589444,0.066056169410556
"2017/12/3",1.56,654739,"conventional",2017,"Chicago",2030,1021392.84,"2017/12/3",1.75,32233,"organic",2017,"Chicago",2030,56407.75,0.0523359798865948,0.947664020113405,0.921864208370615,0.078135791629385
"2017/12/3",1.05,302992,"conventional",2017,"Cincinnati/Dayton",2190,318141.6,"2017/12/3",1.72,6856,"organic",2017,"Cincinnati/Dayton",2190,11792.32,0.0357414599868968,0.964258540013103,0.921640979752964,0.0783590202470356
"2017/12/3",0.99,194796,"conventional",2017,"Columbus",2261,192848.04,"2017/12/3",1.54,6027,"organic",2017,"Columbus",2261,9281.58,0.0459189504239903,0.95408104957601,0.928429826068234,0.0715701739317663
"2017/12/3",0.85,1199422,"conventional",2017,"Dallas/Ft. Worth",1449,1019508.7,"2017/12/3",1.66,18539,"organic",2017,"Dallas/Ft. Worth",1449,30774.74,0.0293013664958861,0.970698633504114,0.96479638894717,0.0352036110528297
"2017/12/3",1.1,849840,"conventional",2017,"Denver",1032,934824,"2017/12/3",1.79,23855,"organic",2017,"Denver",1032,42700.45,0.043682232193783,0.956317767806217,0.946481603768874,0.053518396231126
"2017/12/3",0.97,515907,"conventional",2017,"Detroit",2296,500429.79,"2017/12/3",1.39,12104,"organic",2017,"Detroit",2296,16824.56,0.0325266670062804,0.96747333299372,0.941869889252581,0.0581301107474194
"2017/12/3",0.99,301527,"conventional",2017,"Grand Rapids",2193,298511.73,"2017/12/3",1.31,6184,"organic",2017,"Grand Rapids",2193,8101.04,0.0264210782871177,0.973578921712882,0.953442082798573,0.0465579172014267
