state,rate,rank
South Dakota,2,1
Vermont,2.1,2
North Dakota,2.2,3
New Hampshire,2.5,4
Nebraska,2.6,5
Mississippi,2.7,6
Virginia,2.7,6
Alabama,2.8,8
Iowa,2.8,8
Maine,2.8,8
Maryland,2.8,8
Hawaii,2.9,12
Wyoming,2.9,12
Tennessee,3,14
Wisconsin,3,14
Montana,3.1,16
Kansas,3.2,17
Minnesota,3.2,17
Utah,3.2,17
Arkansas,3.3,20
Florida,3.3,20
Arizona,3.4,22
Georgia,3.4,22
Pennsylvania,3.4,22
Idaho,3.5,25
Massachusetts,3.5,25
Oklahoma,3.5,25
Connecticut,3.6,28
North Carolina,3.7,29
Missouri,3.8,30
Colorado,3.9,31
Louisiana,3.9,31
South Carolina,3.9,31
Indiana,4,34
New Mexico,4,34
Delaware,4.1,36
Oregon,4.1,36
Texas,4.1,36
West Virginia,4.2,39
New York,4.3,40
Michigan,4.4,41
Alaska,4.5,42
Ohio,4.5,42
Rhode Island,4.5,42
Kentucky,4.7,45
New Jersey,4.7,45
Washington,4.9,47
California,5.2,48
Illinois,5.2,48
Nevada,5.4,50
District of Columbia,5.5,51
